Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,4/5/2021,563,N949JT,FLL,6:25,6:15,188,169,-10,6:29,14,0,0,0,0,0
B6,4/5/2021,906,N183JB,JFK,11:20,14:20,129,117,180,14:33,13,0,0,168,0,0
B6,4/6/2021,563,N949JT,FLL,6:25,6:15,192,176,-10,6:29,14,0,0,0,0,0
B6,4/8/2021,312,N351JB,BOS,10:24,10:19,136,127,-5,10:29,10,0,0,0,0,0
B6,4/8/2021,563,N999JQ,FLL,6:25,6:18,192,181,-7,6:31,13,0,0,0,0,0
B6,4/8/2021,1106,N358JB,JFK,13:30,13:22,129,132,-8,13:32,10,0,0,0,0,0
B6,4/9/2021,312,N346JB,BOS,10:24,10:20,136,128,-4,10:29,9,0,0,0,0,0
B6,4/9/2021,563,N999JQ,FLL,6:25,6:17,192,169,-8,6:28,11,0,0,0,0,0
B6,4/9/2021,1106,N358JB,JFK,13:30,13:23,129,131,-7,13:37,14,0,0,0,0,0
B6,4/10/2021,312,N197JB,BOS,10:24,10:15,136,120,-9,10:27,12,0,0,0,0,0
B6,4/10/2021,563,N954JB,FLL,6:25,6:32,192,176,7,6:46,14,0,0,0,0,0
B6,4/10/2021,1106,N316JB,JFK,13:30,13:20,129,117,-10,13:31,11,0,0,0,0,0
B6,4/10/2021,1906,N353JB,JFK,17:51,17:42,129,131,-9,17:57,15,0,0,0,0,0
B6,4/11/2021,312,N279JB,BOS,10:24,10:09,136,134,-15,10:21,12,0,0,0,0,0
B6,4/11/2021,563,N954JB,FLL,6:25,6:14,192,190,-11,6:28,14,0,0,0,0,0
B6,4/11/2021,1106,N323JB,JFK,13:30,13:24,129,123,-6,13:35,11,0,0,0,0,0
B6,4/12/2021,312,N258JB,BOS,10:24,10:15,136,135,-9,10:28,13,0,0,0,0,0
B6,4/12/2021,563,N972JT,FLL,6:25,6:16,192,171,-9,6:34,18,0,0,0,0,0
B6,4/12/2021,1106,N323JB,JFK,13:30,13:18,129,119,-12,13:29,11,0,0,0,0,0
B6,4/13/2021,563,N972JT,FLL,6:25,6:14,192,172,-11,6:30,16,0,0,0,0,0
B6,4/15/2021,312,N198JB,BOS,10:24,10:17,136,128,-7,10:33,16,0,0,0,0,0
B6,4/15/2021,563,N905JB,FLL,6:25,6:15,192,169,-10,6:28,13,0,0,0,0,0
B6,4/15/2021,1106,N304JB,JFK,13:30,13:19,129,116,-11,13:30,11,0,0,0,0,0
B6,4/16/2021,312,N355JB,BOS,10:24,10:10,136,143,-14,10:20,10,0,0,0,0,0
B6,4/16/2021,563,N2017J,FLL,6:25,6:20,192,163,-5,6:32,12,0,0,0,0,0
B6,4/16/2021,1106,N358JB,JFK,13:30,13:30,129,121,0,13:42,12,0,0,0,0,0
B6,4/17/2021,312,N337JB,BOS,10:24,10:14,136,138,-10,10:30,16,0,0,0,0,0
B6,4/17/2021,563,N956JT,FLL,6:25,6:17,192,179,-8,6:31,14,0,0,0,0,0
B6,4/17/2021,1106,N198JB,JFK,13:30,13:26,129,117,-4,13:40,14,0,0,0,0,0
B6,4/18/2021,312,N306JB,BOS,10:24,10:09,136,123,-15,10:20,11,0,0,0,0,0
B6,4/18/2021,563,N956JT,FLL,6:25,6:15,192,174,-10,6:30,15,0,0,0,0,0
B6,4/18/2021,1106,N304JB,JFK,13:30,13:19,129,119,-11,13:35,16,0,0,0,0,0
B6,4/19/2021,312,N229JB,BOS,10:24,10:07,136,119,-17,10:17,10,0,0,0,0,0
B6,4/19/2021,563,N966JT,FLL,6:25,6:15,192,174,-10,6:29,14,0,0,0,0,0
B6,4/19/2021,1106,N304JB,JFK,13:30,13:29,129,114,-1,13:40,11,0,0,0,0,0
B6,4/20/2021,563,N973JT,FLL,6:25,6:13,192,190,-12,6:28,15,0,0,0,0,0
