Date,MaxT,MinT,AvgT,Tdeparture,HDD,CDD,Precipitation,New Snow,Snow Depth
7/31/2021,81,63,72,-4.4,0,7,0,0,0
8/1/2021,77,64,70.5,-5.8,0,6,0,0,0
8/2/2021,77,62,69.5,-6.7,0,5,0,0,0
8/3/2021,82,63,72.5,-3.7,0,8,0,0,0
8/4/2021,84,64,74,-2.1,0,9,0,0,0
8/5/2021,86,66,76,0,0,11,T,0,0
8/6/2021,84,67,75.5,-0.5,0,11,0.3,0,0
8/7/2021,89,68,78.5,2.6,0,14,0,0,0
8/8/2021,92,72,82,6.2,0,17,0.05,0,0
8/9/2021,82,72,77,1.2,0,12,0.15,0,0
8/10/2021,94,71,82.5,6.8,0,18,1.2,0,0
8/11/2021,88,73,80.5,4.9,0,16,0.06,0,0
8/12/2021,85,73,79,3.4,0,14,0.02,0,0
8/13/2021,82,70,76,0.5,0,11,0,0,0
8/14/2021,80,66,73,-2.4,0,8,0,0,0
8/15/2021,81,61,71,-4.3,0,6,0,0,0
8/16/2021,80,65,72.5,-2.7,0,8,0,0,0
8/17/2021,83,68,75.5,0.4,0,11,0,0,0
8/18/2021,86,74,80,5,0,15,0,0,0
8/19/2021,87,74,80.5,5.6,0,16,0.03,0,0
8/20/2021,90,72,81,6.2,0,16,0,0,0
8/21/2021,89,75,82,7.3,0,17,0.02,0,0
8/22/2021,84,72,78,3.5,0,13,0,0,0
8/23/2021,88,68,78,3.6,0,13,0,0,0
8/24/2021,96,73,84.5,10.3,0,20,0.42,0,0
8/25/2021,94,72,83,8.9,0,18,1.45,0,0
8/26/2021,90,71,80.5,6.6,0,16,T,0,0
8/27/2021,92,73,82.5,8.8,0,18,0,0,0
8/28/2021,93,76,84.5,10.9,0,20,0,0,0
8/29/2021,91,75,83,9.6,0,18,0.09,0,0
8/30/2021,85,69,77,3.8,0,12,0,0,0
8/31/2021,82,68,75,2.1,0,10,T,0,0
9/1/2021,78,66,72,-0.7,0,7,0,0,0
9/2/2021,79,63,71,-1.5,0,6,0,0,0
9/3/2021,76,65,70.5,-1.7,0,6,T,0,0
9/4/2021,75,64,69.5,-2.4,0,5,0.02,0,0
9/5/2021,84,60,72,0.3,0,7,0,0,0
9/6/2021,82,62,72,0.6,0,7,0,0,0
9/7/2021,90,65,77.5,6.4,0,13,0.11,0,0
9/8/2021,82,58,70,-0.8,0,5,0,0,0
9/9/2021,76,57,66.5,-4,0,2,0,0,0
